2026/04/19 16:36:57.491, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:36:58.519, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:36:59.548, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:00.582, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:01.610, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:02.638, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:03.667, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:04.695, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:05.722, 0 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 16:37:06.751, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:07.788, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:08.820, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:09.846, 0 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 16:37:10.873, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:11.902, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:12.937, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:13.970, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:15.004, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:16.037, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:17.068, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:18.098, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:19.125, 0 MiB, 81920 MiB, 0 %, 63.95 W
2026/04/19 16:37:20.239, 0 MiB, 81920 MiB, 0 %, 64.22 W
2026/04/19 16:37:21.268, 0 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 16:37:22.296, 11201 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:23.324, 15867 MiB, 81920 MiB, 0 %, 86.85 W
2026/04/19 16:37:24.350, 15867 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:25.378, 15867 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:26.405, 15867 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:27.432, 15867 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:28.459, 15867 MiB, 81920 MiB, 0 %, 86.76 W
2026/04/19 16:37:29.489, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:30.516, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:31.540, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:32.568, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:33.598, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:34.626, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:35.654, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:36.681, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:37.713, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:38.742, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:39.774, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:40.806, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:41.837, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:42.864, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:43.894, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:44.927, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:45.956, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:46.982, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:48.013, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:49.045, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:50.076, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:51.104, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:52.132, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:53.157, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:54.185, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:55.212, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:56.239, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:57.269, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:37:58.296, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:37:59.322, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:00.350, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:38:01.378, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:38:02.403, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:38:03.428, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:04.454, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:05.479, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:06.505, 15867 MiB, 81920 MiB, 0 %, 87.08 W
2026/04/19 16:38:07.531, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:08.557, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:09.584, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:10.609, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:11.637, 15867 MiB, 81920 MiB, 0 %, 87.17 W
2026/04/19 16:38:12.663, 15867 MiB, 81920 MiB, 47 %, 121.26 W
2026/04/19 16:38:13.694, 15867 MiB, 81920 MiB, 0 %, 119.73 W
2026/04/19 16:38:14.741, 68237 MiB, 81920 MiB, 20 %, 144.40 W
2026/04/19 16:38:15.768, 68239 MiB, 81920 MiB, 1 %, 116.51 W
2026/04/19 16:38:16.848, 68243 MiB, 81920 MiB, 1 %, 85.36 W
2026/04/19 16:38:17.877, 68321 MiB, 81920 MiB, 1 %, 85.97 W
2026/04/19 16:38:18.907, 68385 MiB, 81920 MiB, 13 %, 190.49 W
2026/04/19 16:38:19.937, 68393 MiB, 81920 MiB, 5 %, 213.69 W
2026/04/19 16:38:20.963, 68399 MiB, 81920 MiB, 0 %, 226.83 W
2026/04/19 16:38:21.992, 68407 MiB, 81920 MiB, 2 %, 86.48 W
2026/04/19 16:38:23.022, 68383 MiB, 81920 MiB, 21 %, 87.44 W
2026/04/19 16:38:24.054, 68391 MiB, 81920 MiB, 24 %, 85.55 W
2026/04/19 16:38:25.084, 68399 MiB, 81920 MiB, 24 %, 85.64 W
